Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Dynamic,601,ETC10,0.97,0.96,0.97,0.97,0.1,0.4,0.5
Dynamic,601,RFC100,0.97,0.93,0.98,0.95,3.57,0.4,3.97
Dynamic,601,RFC50,0.96,0.93,0.97,0.95,1.81,0.4,2.21
Dynamic,601,RFC25,0.96,0.93,0.97,0.95,0.89,0.4,1.29
Dynamic,601,RFC10,0.95,0.92,0.95,0.93,0.37,0.4,0.77
Holding Styles,601,DT,1.0,1.0,1.0,1.0,0.04,0.4,0.44
Holding Styles,601,KNN3,1.0,1.0,1.0,1.0,0.02,0.4,0.42
Holding Styles,601,KNN5,1.0,1.0,1.0,1.0,0.02,0.4,0.42
Holding Styles,601,ETC100,1.0,1.0,1.0,1.0,0.23,0.4,0.63
Holding Styles,601,ETC50,1.0,1.0,1.0,1.0,0.12,0.4,0.52
Holding Styles,601,ETC25,1.0,1.0,1.0,1.0,0.09,0.4,0.49
Holding Styles,601,ETC10,1.0,1.0,1.0,1.0,0.04,0.4,0.44
Holding Styles,601,RFC100,1.0,1.0,1.0,1.0,0.5,0.4,0.9
Holding Styles,601,RFC50,1.0,1.0,1.0,1.0,0.25,0.4,0.65
Holding Styles,601,RFC25,1.0,1.0,1.0,1.0,0.13,0.4,0.53
Holding Styles,601,RFC10,1.0,1.0,1.0,1.0,0.06,0.4,0.46
Total,401,DT,0.65,0.35,0.49,0.36,0.25,0.6,0.85
Total,401,KNN3,0.85,0.71,0.81,0.75,0.06,0.6,0.66
Total,401,KNN5,0.84,0.68,0.8,0.73,0.04,0.6,0.64
Total,401,ETC100,0.93,0.85,0.95,0.89,1.54,0.6,2.14
Total,401,ETC50,0.93,0.85,0.95,0.89,0.73,0.6,1.33
Total,401,ETC25,0.93,0.84,0.94,0.88,0.37,0.6,0.97
Total,401,ETC10,0.92,0.83,0.92,0.87,0.16,0.6,0.76
Total,401,RFC100,0.91,0.81,0.94,0.87,6.43,0.6,7.03
