Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType
20.36,7.2121262999999995,-4.902231700000001,3.772929,-0.020430826000000003,0.1987308,0.07088659,-12.920176,33.758694,-31.584099,0.26486254,-0.17353296,0.32806729999999995,989.9884,1,1.0,1
20.4,8.117871000000001,-4.7282515,4.871308,-0.12056533,0.016570687,0.12974252,-13.085291,33.393024,-30.998367,-0.9599204,-0.35286808,-0.90560174,989.9859,1,1.0,1
20.44,6.944401299999999,-5.979472,4.3315835,-0.35132775,-0.09980939999999999,0.28633636,-12.713134,33.636013,-30.838978000000004,0.88824177,0.25340652,-0.38921285,989.9757699999999,1,1.0,1
20.48,7.310028,-4.425574,3.654561,0.0054026230000000005,-0.4839701,0.12028856,-13.562370999999999,32.313713,-30.168839000000002,-0.061321735,-1.000649,0.36399007,989.9960000000001,1,1.0,1
20.52,7.654146000000001,-5.0547585,3.0935316000000004,0.50860673,-1.1689346,0.06316389,-14.643514000000001,32.671062,-30.177113000000002,-0.22983979999999996,0.17183876,0.104275465,989.9959,1,1.0,1
20.56,7.952857000000001,-5.6100616,4.030941,0.32285172,-0.6646655,0.31350094,-14.690145000000001,33.04907,-30.576970000000003,-0.5777359000000001,-0.025532722,-0.64152527,989.9580699999999,1,1.0,1
20.6,7.8118240000000005,-4.9951754,3.0603857000000003,0.001675005,-0.12004957,0.41789687,-14.321032,33.289112,-30.262970000000003,-0.52942467,-0.46357012,0.22471666,989.9657,1,1.0,1
20.64,6.970550500000001,-4.8307285,3.4935812999999993,0.32165384,-0.37304970000000004,0.24492483,-15.110835999999999,34.07712,-30.033409999999996,0.9747119000000001,-0.5150151,-0.5932858,989.9301,1,1.0,1
20.68,7.902585,-4.8474107,4.376545,0.12085191,-0.20993127,-0.17705256,-15.319293,33.09198,-30.328559999999996,-0.61848927,-0.5355568,-1.2308221000000001,989.9428,1,1.0,1
20.72,7.622938,-4.8378773,3.0982533,0.33443752,-0.1358955,0.088065006,-15.300081,32.26716,-30.360236999999998,-0.17289782,-0.47707079999999996,-0.48365519999999995,989.9657,1,1.0,1
20.76,7.5775023,-4.999939,2.5395908,0.6932984000000001,-0.85508156,0.24186257,-16.208935,32.259487,-31.066574,0.39554358,-0.39553452,-0.047145367,989.9301,1,1.0,1
20.8,8.065014,-4.6209974,3.1787329,0.91420776,-1.3633455,-0.060272716,-17.763026999999997,30.803891999999998,-30.203026,-0.93385077,-0.38015985,0.13533187,989.92255,1,1.0,1
20.84,8.490388000000001,-5.498043,3.2166057,-0.46211222,0.6247024999999999,0.58088297,-16.62025,32.295947999999996,-31.313263,-0.4638219,0.07246923400000001,-0.29338264,989.91254,1,1.0,1
20.88,7.797289,-5.355046,2.6271695999999998,0.32312045,-0.32165104,0.30671093,-16.604763000000002,31.730558000000002,-30.589703000000004,-0.6889839,-0.05636978,0.3800292,989.9176,1,1.0,1
20.92,7.7327337,-5.450376,3.2047646,0.32312045,-0.32165104,0.30671093,-16.604763000000002,31.730558000000002,-30.589703000000004,-0.5580063,-0.37741804,-0.037145376,989.9176,1,1.0,1
20.96,7.579752,-5.307379,3.1290116,0.026311642000000003,0.22802489,0.33627209999999996,-15.789168,32.494236,-30.683086,-0.10861349,0.15835857,-0.27260613,989.9200400000001,1,1.0,1
21.0,7.4506692999999995,-5.2549458,3.2852445,0.13270510000000002,0.34640226,0.22575113,-15.055778,33.550022,-31.319778000000003,-0.060759068,-0.75594234,0.5802269,989.9301,1,1.0,1
21.04,7.717136,-4.990431299999999,2.911335,0.08596695,0.39633647,0.11456435,-14.687942499999998,32.78817,-31.254897999999997,-0.5473423000000001,-0.31292868,0.11958479999999999,989.877,1,1.0,1
21.08,7.729106,-6.184454,3.789569,-0.14053878,0.31284709999999993,-0.16413695,-14.273445,32.860565,-31.8619,-0.5513234,0.06551123,0.362072,989.93536,1,1.0,1
21.12,6.9069996,-4.7592545,4.561279,-0.32190716,0.12642713,-0.43498329999999996,-14.312198,32.665805999999996,-31.151671999999998,0.17776966,-0.4039092,-0.91412306,990.04675,1,1.0,1
21.16,7.721976299999999,-5.114363,3.5268135000000003,-0.4199116,0.23401877,-0.4184718,-14.362989,32.56519,-30.52208,-0.4279418,-0.21306944,-1.2245514,990.1022,1,1.0,1
21.2,7.946648599999999,-4.713973,1.7253741000000002,0.1619884,-0.86799634,-0.1677355,-15.493944,33.191685,-30.076529999999998,0.13454294,-1.0580048999999998,1.3374197,990.0061599999999,1,1.0,1
21.24,8.756844500000001,-5.7769156,2.7030306,0.20766138,-0.9448284,-0.04536343,-16.91874,33.016284999999996,-29.615757000000002,-1.0287409,0.5220928,0.066171885,989.8975,1,1.0,1
21.28,8.780764999999999,-5.0261830000000005,2.2272248,-0.17823051,-0.46146506,0.0932539,-17.576529999999998,33.243046,-29.296707,-1.0235667,-0.06614637400000001,0.40200806,989.87964,1,1.0,1
21.32,8.742546,-6.923273,3.5812663999999996,-0.20699283,-0.268386,0.1366633,-17.719196,33.79398,-28.845055,-0.76533556,0.40040636,-0.5826266,989.9607,1,1.0,1
21.36,7.533276,-5.776917,2.210658,-0.23442356,-0.23456386,0.12880689,-17.772894,33.79633,-28.759933,-0.07433081,1.0594864,0.0026788709999999998,990.01624,1,1.0,1
21.4,7.968259,-5.969963,3.4581757000000004,-0.30832642,0.30672324,-0.11274168,-17.959476000000002,32.883827000000004,-28.215883,-0.28406190000000003,0.114676476,-1.5818273999999999,990.04663,1,1.0,1
21.44,9.385491,-5.4861584,2.9018846000000003,-0.19540869,0.072365254,-0.10674967,-18.059261,32.895885,-28.432167,-1.6269183,1.2662201000000002,-1.1066968000000001,990.0137300000001,1,1.0,1
21.48,6.952591,-6.2130585,3.4581792,0.16891125,0.14267269,0.081535585,-17.389679,33.57542,-28.344154,0.13938189,-0.07815933,1.4496655,989.99115,1,1.0,1
